taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,---,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources
119,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,Agapornis fischeri,NA,28,4,0.142857143,-,4,2,0.071428571,0.5,2,0.071428571,0.5,-,16,2,1,4,1,0,-,28,4,28,4
1873,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,Eurycea rathbuni,NA,15,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,7,0,0,-,15,0,15,4
3324,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,Pipa pipa,Surinam toad,108,4,0.037037037,-,3,1,0.009259259,0.333333333,2,0.018518519,0.666666667,-,28,0,0,22,3,1,-,108,4,108,21
3687,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Rhynchopsitta,Rhynchopsitta pachyrhyncha,NA,23,0,0,-,0,0,0,NA,0,0,NA,-,11,0,0,8,0,0,-,23,0,23,8
3252,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma grandis,NA,21,2,0.095238095,-,14,2,0.095238095,0.714285714,0,0,0.285714286,-,6,2,2,11,0,0,-,33,14,21,14
80,Animalia,Chordata,Mammalia,Diprotodontia,Acrobatidae,Acrobates,Acrobates pygmaeus,Feathertail Glider,43,0,0,-,0,0,0,NA,0,0,NA,-,15,0,0,2,0,0,-,43,0,43,3
4180,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua scincoides,Eastern Blue Tongued Skink,25,6,0.24,-,6,4,0.16,0.666666667,2,0.08,0.333333333,-,6,2,2,9,2,2,-,25,6,25,14
734,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothriechis,Bothriechis marchi,Marches Palm Pit Viper,12,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,4,0,0,-,12,0,12,4
4292,Animalia,Chordata,Reptilia,Squamata,Viperidae,Cryptelytrops,Trimeresurus kanburiensis,NA,11,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,3,0,0,-,11,0,11,3
1620,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Koi carp,60,12,0.2,-,10,8,0.133333333,0.8,2,0.033333333,0.2,-,7,1,0,7,1,1,-,60,12,60,15
4046,Animalia,Chordata,Aves,Anseriformes,Anatidae,Radjah,Tadorna radjah,Radjah Shelduck,41,0,0,-,0,0,0,NA,0,0,NA,-,5,0,0,4,0,0,-,41,0,41,6
19632,Animalia,Teleostei,Ostariophysi,Characiformes,Characidae,Paracheirodon,Paracheirodon innesi,Neon Tetra,18,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,0,0,0,-,18,0,18,1
